day	icufrac
1	1
2	0
3	1
4	1
5	1
6	0.75
7	0.230769231
8	0.5
9	1
10	0.785714286
11	0.305555556
12	1
13	0.482758621
14	0.952380952
15	1
16	0.790697674
17	0.330275229
18	0.585106383
19	0.839506173
20	0.590909091
21	0.419689119
22	0.486842105
23	0.421487603
24	0.426415094
25	0.351906158
26	0.352380952
27	0.346704871
28	0.240088106
29	0.185255198
30	0.272189349
31	0.155124654
32	0.167785235
33	0.1632
34	0.163346614
35	0.205357143
36	0.308300395
37	0.253846154
38	0.22260274
39	0.207792208
40	0.240506329
41	0.248888889
42	0.153439153
43	0.214285714
44	0.346938776
45	0.195238095
46	0.143617021
47	0.175824176
48	0.179487179
49	0.11627907

