day	icucum	icudead	icurec	icupres	hosprec	hoscum
1	10	0	1	10	0	17
2	10	0	1	9	0	27
3	11	0	1	10	0	33
4	14	0	1	13	1	43
5	16	0	1	14	1	53
6	19	0	2	17	1	66
7	22	0	1	19	2	74
8	28	2	1	25	2	92
9	35	2	2	29	2	115
10	44	2	2	35	2	137
11	55	3	2	45	2	179
12	78	4	2	66	2	231
13	92	4	2	77	3	293
14	110	5	5	93	5	345
15	138	8	7	117	5	409
16	171	13	8	146	6	542
17	206	15	11	174	6	674
18	261	20	12	224	9	835
19	327	27	14	283	10	1057
20	414	32	21	357	11	1275
21	497	44	27	427	13	1458
22	570	50	29	480	16	1686
23	671	67	41	572	18	2086
24	783	74	45	653	22	2485
25	902	86	57	753	25	2915
26	1013	108	60	836	35	3344
27	1132	122	77	923	40	3892
28	1237	139	94	989	44	4197
29	1329	165	106	1037	55	4437
30	1462	184	127	1126	63	4827
31	1573	216	138	1190	76	5138
32	1646	236	153	1207	91	5450
33	1745	259	166	1250	104	5787
34	1825	292	176	1280	124	6116
35	1890	311	198	1282	133	6302
36	1965	333	218	1302	142	6514
37	2028	352	236	1310	161	6836
38	2088	383	269	1314	180	7074
39	2149	399	287	1286	203	7288
40	2201	410	295	1281	228	7483
41	2251	439	304	1286	253	7703
42	2280	454	326	1253	271	7848
43	2316	467	353	1235	287	7992
44	2362	489	382	1222	300	8170
45	2397	499	383	1194	342	8350
46	2421	517	386	1169	388	8470
47	2451	535	380	1138	429	8603
48	2477	554	389	1108	467	8762
49	2495	566	409	1061	487	8846
50	2515	582	431	1031	493	8935
51	2543	601	427	1011	539	9063
52	2566	621	437	975	579	9200
53	2580	638	436	918	619	9307
54	2596	651	424	877	655	9427
55	2615	663	400	861	708	9536
56	2630	674	406	832	725	9595
57	2643	687	425	808	730	9658
58	2659	700	442	786	739	9733
59	2674	704	433	763	784	9847
60	2686	710	435	734	819	9935
61	2703	721	430	708	854	10015
62	2712	725	436	673	891	10079
63	2721	734	437	633	905	10121
64	2732	739	451	620	910	10164
65	2745	745	450	610	948	10240
66	2749	751	467	570	958	10271
67	2755	756	463	544	990	10336
68	2766	764	464	523	1019	10392
69	2773	770	454	493	1052	10466
70	2779	776	463	470	1059	10506
71	2784	778	473	453	1061	10544
72	2792	785	478	447	1090	10608
73	2796	787	458	408	1129	10659
74	2800	791	458	389	1156	10718
75	2809	794	446	366	1182	10766
76	2813	800	432	351	1211	10825
77	2821	801	433	335	1221	10846
78	2827	801	437	329	1225	10891
79	2831	802	442	324	1252	10951
80	2833	804	433	294	1274	10980
81	2836	809	425	284	1298	11031
82	2838	813	432	265	1304	11055
83	2841	816	422	250	1329	11114
84	2844	816	424	235	1333	11142
85	2850	817	434	235	1333	11187
86	2852	818	440	226	1350	11254
